Phase,Mag,MagErr,Curve
0.000000,14.425415,0.013333,14.452587
0.037936,14.408957,0.012333,14.433419
0.072296,14.394143,0.012667,14.407026
0.106653,14.379665,0.012000,14.382550
0.141032,14.380186,0.012000,14.369214
0.194180,14.355475,0.012000,14.376876
0.235946,14.372369,0.012000,14.396120
0.281739,14.400621,0.011667,14.410989
0.316108,14.408140,0.012000,14.411643
0.356747,14.397029,0.012000,14.404561
0.407247,14.405638,0.011333,14.399555
0.445452,14.410846,0.011000,14.406694
0.487453,14.425076,0.011333,14.422865
0.530995,14.439647,0.011000,14.437738
0.586818,14.443283,0.011667,14.438210
0.621194,14.418470,0.011667,14.427240
0.655554,14.396991,0.011333,14.411587
0.689934,14.390179,0.011000,14.395444
0.725646,14.390707,0.011000,14.381792
0.773367,14.346635,0.011000,14.373011
0.807754,14.338486,0.011000,14.375856
0.842120,14.356007,0.011000,14.387525
0.880292,14.382548,0.011000,14.409314
0.929692,14.428484,0.011000,14.440728
0.973153,14.461721,0.011000,14.455273
0.007546,14.433908,0.011000,14.450092
0.041919,14.416428,0.011000,14.430609
0.076279,14.396614,0.011000,14.403885
0.127752,14.373894,0.011000,14.372647
0.176054,14.358155,0.011000,14.370906
0.210397,14.367008,0.011000,14.383988
0.244784,14.385861,0.011000,14.399999
0.279157,14.393716,0.011000,14.410562
0.320865,14.400275,0.011000,14.411097
0.364256,14.381842,0.011000,14.403123
0.398612,14.388361,0.011000,14.399381
0.432972,14.397546,0.011000,14.403269
0.467365,14.417067,0.011000,14.414597
0.509178,14.413960,0.011000,14.431319
0.552625,14.427860,0.011667,14.440884
0.590874,14.440735,0.012333,14.437294
0.621392,14.429566,0.014000,14.427159
0.057092,14.376076,0.012000,14.419113
0.095021,14.365954,0.010667,14.389971
0.156645,14.336298,0.010000,14.368116
0.335910,14.370966,0.010000,14.408695
0.381753,14.368888,0.009667,14.400461
0.431132,14.379164,0.009667,14.402847
0.469126,14.398709,0.009333,14.415303
0.492056,14.375837,0.009000,14.424752
0.645040,14.372691,0.009333,14.416614
0.679413,14.387215,0.009000,14.400209
0.713769,14.388074,0.009000,14.385801
0.759599,14.396997,0.009000,14.374176
0.801449,14.378563,0.008333,14.374682
0.844917,14.411471,0.008000,14.388849
0.879303,14.425997,0.008000,14.408672
0.913673,14.447522,0.008000,14.431266
0.948043,14.459046,0.008000,14.449304
0.988806,14.442606,0.008333,14.454898
0.031701,14.434512,0.008000,14.437579
0.073706,14.416411,0.008000,14.405910
0.111928,14.391958,0.008000,14.379605
0.146305,14.370148,0.008000,14.368489
0.205640,14.383812,0.008000,14.381789
0.243603,14.403022,0.008000,14.399501
0.277983,14.416214,0.008000,14.410349
0.327706,14.422489,0.008000,14.410114
0.377170,14.397430,0.008667,14.401033
0.428262,14.403379,0.008000,14.402236
0.477941,14.408988,0.008000,14.418916
0.512334,14.430177,0.008000,14.432410
0.555980,14.414753,0.008333,14.441041
0.608886,14.410711,0.008667,14.431928
0.643272,14.378235,0.009000,14.417447
0.677656,14.388424,0.009000,14.401027
0.712042,14.372282,0.011000,14.386433
0.134314,14.360755,0.007000,14.370664
0.172261,14.361971,0.006000,14.370032
0.206647,14.368503,0.006000,14.382249
0.241037,14.387365,0.006000,14.398395
0.275394,14.408227,0.006000,14.409841
0.322690,14.403831,0.006000,14.410855
0.360644,14.395715,0.006000,14.403800
0.395084,14.393243,0.006000,14.399459
0.429511,14.398775,0.006000,14.402495
