Phase,Mag,MagErr,Curve
0.000000,18.011103,0.069667,18.024576
0.041202,18.061014,0.078333,18.084745
0.068669,18.108400,0.109000,18.115489
0.168749,18.184805,0.099000,18.124099
0.209919,18.072053,0.054333,18.087798
0.246383,18.037899,0.051000,18.059552
0.457204,17.973870,0.099000,18.025306
0.498350,18.130452,0.181000,18.090993
0.525771,18.134840,0.057000,18.126767
0.553168,18.192225,0.073000,18.140267
0.881355,18.052468,0.068000,17.992990
0.917889,18.043333,0.066000,17.980488
0.028014,18.158936,0.068000,18.066224
0.092477,18.179373,0.064000,18.131766
0.174272,18.154066,0.058000,18.120125
0.227105,18.125836,0.053000,18.072298
0.278241,18.093248,0.049000,18.054462
0.322069,18.072554,0.047333,18.064159
0.380306,18.013068,0.045000,18.033357
0.408288,18.089478,0.047000,18.009741
0.452139,18.057783,0.047333,18.019415
0.695913,18.210665,0.068000,18.163736
0.738504,18.092284,0.076667,18.103986
0.767738,18.032708,0.073000,18.048271
0.508159,18.101070,0.091000,18.105978
0.629055,18.121555,0.084000,18.146446
0.762135,18.005556,0.066000,18.058281
0.871673,17.894207,0.109000,17.994807
0.915935,17.914875,0.060000,17.981135
0.958531,17.948181,0.056333,17.981859
0.002374,17.941845,0.050000,18.027981
0.046215,18.016838,0.050667,18.091241
0.153039,18.088232,0.068000,18.132990
0.196844,18.088244,0.068000,18.100427
0.383332,18.030812,0.054000,18.030430
0.434864,17.995615,0.052000,18.006531
0.477453,18.055279,0.052667,18.055662
0.521273,18.114295,0.054333,18.122336
0.550489,18.128416,0.054000,18.139865
0.671324,18.147636,0.052000,18.168630
0.715138,18.156318,0.052000,18.143777
0.744341,18.064440,0.047000,18.092623
0.823168,17.992670,0.041000,17.996443
0.859684,17.974239,0.040000,17.995714
0.888892,17.935696,0.038000,17.990909
0.951721,17.968673,0.035000,17.978957
0.994311,18.052004,0.035000,18.016683
0.023517,18.055792,0.033000,18.059569
0.140698,18.110616,0.034000,18.137297
0.197902,18.043839,0.031667,18.099413
0.241715,17.988852,0.030667,18.062026
0.286995,18.027888,0.040000,18.056096
0.841784,18.063869,0.084000,17.995412
0.871002,17.972339,0.078000,17.994896
0.021099,18.081754,0.083667,18.055949
0.072228,18.114078,0.078000,18.118541
0.138437,18.155646,0.073000,18.137827
0.173713,18.105715,0.068000,18.120546
0.214647,18.123876,0.068000,18.083307
0.271861,18.088800,0.068000,18.053935
0.308412,18.088891,0.073000,18.061862
0.352238,17.993599,0.061000,18.056629
0.468509,18.024978,0.204500,18.041191
0.505034,18.051568,0.068000,18.101416
0.650039,18.153909,0.099000,18.159110
0.701151,18.134067,0.064333,18.159711
0.730367,18.211205,0.061000,18.119193
0.773781,18.004906,0.044000,18.038241
0.816361,18.046591,0.040667,17.998135
0.860174,18.032298,0.035667,17.995702
0.904006,18.028670,0.031000,17.985531
0.937628,17.984543,0.029000,17.976773
0.980204,18.075228,0.035000,17.999405
0.009406,18.023699,0.045000,18.038341
