Period(hours),RMSE
0.041667,6.181273
0.041724,6.010578
0.041781,5.932011
0.041839,5.581128
0.041896,5.737638
0.041953,6.123817
0.042010,6.188025
0.042068,6.239991
0.042125,6.186759
0.042182,6.342570
0.042240,6.328543
0.042297,6.281657
0.042354,6.031119
0.042411,6.231231
0.042469,6.309638
0.042526,6.098619
0.042583,6.311648
0.042641,6.314735
0.042698,6.422811
0.042755,6.529300
0.042812,6.251172
0.042870,6.186510
0.042927,6.206134
0.042984,6.473993
0.043042,5.851783
0.043099,6.038809
0.043156,6.246211
0.043214,6.576691
0.043271,6.345215
0.043328,6.413612
0.043385,6.023163
0.043443,6.297585
0.043500,6.020704
0.043557,6.166030
0.043615,6.294705
0.043672,6.285655
0.043729,5.841958
0.043786,6.172218
0.043844,6.547977
0.043901,6.704131
0.043958,6.689609
0.044016,6.254183
0.044073,6.388035
0.044130,6.326746
0.044187,6.511082
0.044245,6.655322
0.044302,6.212055
0.044359,6.675278
0.044417,6.206702
0.044474,5.919512
0.044531,5.930555
0.044589,6.295803
0.044646,6.686086
0.044703,6.351181
0.044760,6.102846
0.044818,6.100833
0.044875,5.968193
0.044932,6.299813
0.044990,6.324395
0.045047,6.405735
0.045104,6.117337
0.045161,6.547805
0.045219,6.328915
0.045276,6.227241
0.045333,6.384899
0.045391,6.479613
0.045448,6.182256
0.045505,6.068507
0.045562,6.079359
0.045620,5.767698
0.045677,6.421358
0.045734,6.594897
0.045792,6.207369
0.045849,6.408321
0.045906,6.030838
0.045964,6.115312
0.046021,6.096891
0.046078,6.557003
0.046135,6.722307
0.046193,6.658002
0.046250,6.387793
0.046307,6.231074
0.046365,6.074402
0.046422,6.113169
0.046479,6.632713
0.046536,6.350110
0.046594,6.504807
0.046651,6.038237
0.046708,6.492707
0.046766,6.563602
0.046823,6.390724
0.046880,6.177017
0.046938,6.147388
0.046995,6.302463
0.047052,6.058063
0.047109,6.206922
0.047167,6.272706
0.047224,6.350854
0.047281,6.323631
0.047339,6.226945
0.047396,6.412104
0.047453,6.271928
0.047510,6.237825
0.047568,6.098498
0.047625,6.099544
0.047682,6.021310
0.047740,5.801801
0.047797,5.723217
0.047854,6.326933
0.047911,6.531522
0.047969,5.842534
0.048026,6.112999
0.048083,6.052437
0.048141,6.450877
0.048198,6.546192
0.048255,6.626666
0.048312,6.216172
0.048370,6.128171
0.048427,6.129040
0.048484,6.417529
