Phase,Mag,MagErr,Curve
0.000000,18.011103,0.069667,18.031659
0.041180,18.061014,0.078333,18.086435
0.068632,18.108400,0.109000,18.119207
0.168658,18.184805,0.099000,18.121374
0.209806,18.072053,0.054333,18.077927
0.246250,18.037899,0.051000,18.059561
0.456957,17.973870,0.099000,18.031005
0.498081,18.130452,0.181000,18.079401
0.525487,18.134840,0.057000,18.142248
0.552870,18.192225,0.073000,18.173126
0.878719,18.052468,0.068000,17.977743
0.915234,18.043333,0.066000,17.977139
0.025299,18.158936,0.068000,18.063590
0.089727,18.179373,0.064000,18.133239
0.171479,18.154066,0.058000,18.118927
0.224282,18.125836,0.053000,18.065978
0.275391,18.093248,0.049000,18.066084
0.319196,18.072554,0.047333,18.053818
0.377401,18.013068,0.045000,18.024256
0.405368,18.089478,0.047000,18.032051
0.449195,18.057783,0.047333,18.030601
0.692837,18.210665,0.068000,18.185267
0.735406,18.092284,0.076667,18.086726
0.764623,18.032708,0.073000,18.025722
0.503026,18.101070,0.091000,18.090541
0.623857,18.121555,0.084000,18.115410
0.756864,18.005556,0.066000,18.036904
0.866343,17.894207,0.109000,17.986538
0.910581,17.914875,0.060000,17.975240
0.953155,17.948181,0.056333,17.998799
0.996974,17.941845,0.050000,18.028603
0.040791,18.016838,0.050667,18.085886
0.145397,18.088232,0.068000,18.135254
0.189178,18.088244,0.068000,18.100660
0.375566,18.030812,0.054000,18.024001
0.427070,17.995615,0.052000,18.033622
0.469636,18.055279,0.052667,18.036546
0.513433,18.114295,0.054333,18.115229
0.542633,18.128416,0.054000,18.168223
0.663403,18.147636,0.052000,18.173513
0.707193,18.156318,0.052000,18.162792
0.736381,18.064440,0.047000,18.084018
0.815164,17.992670,0.041000,18.017812
0.851661,17.974239,0.040000,17.999580
0.880853,17.935696,0.038000,17.976611
0.943648,17.968673,0.035000,17.993301
0.986215,18.052004,0.035000,18.019177
0.015406,18.055792,0.033000,18.049941
0.132523,18.110616,0.034000,18.138494
0.189696,18.043839,0.031667,18.100075
0.233486,17.988852,0.030667,18.061487
0.278742,18.027888,0.040000,18.066774
0.831611,18.063869,0.084000,18.014035
0.860813,17.972339,0.078000,17.991330
0.010830,18.081754,0.083667,18.044067
0.061931,18.114078,0.078000,18.112594
0.128104,18.155646,0.073000,18.139031
0.163361,18.105715,0.068000,18.125534
0.204273,18.123876,0.068000,18.083671
0.261456,18.088800,0.068000,18.062232
0.297987,18.088891,0.073000,18.065995
0.341790,17.993599,0.061000,18.035040
0.457998,18.024978,0.204500,18.031203
0.494503,18.051568,0.068000,18.071830
0.639430,18.153909,0.099000,18.132835
0.690514,18.134067,0.064333,18.187161
0.719714,18.211205,0.061000,18.131495
0.763105,18.004906,0.044000,18.027590
0.805662,18.046591,0.040667,18.016845
0.849451,18.032298,0.035667,18.001521
0.893259,18.028670,0.031000,17.972793
0.926864,17.984543,0.029000,17.983253
0.969417,18.075228,0.035000,18.007971
0.998602,18.023699,0.045000,18.030225
