Period(hours),RMSE
0.041667,2.915800
0.041724,2.909889
0.041781,2.908057
0.041839,2.906060
0.041896,2.908678
0.041953,2.913762
0.042010,2.913983
0.042068,2.898688
0.042125,2.879267
0.042182,2.889546
0.042240,2.903627
0.042297,2.906472
0.042354,2.913648
0.042411,2.910714
0.042469,2.904033
0.042526,2.901720
0.042583,2.897370
0.042641,2.894470
0.042698,2.892420
0.042755,2.905084
0.042812,2.917032
0.042870,2.897535
0.042927,2.859010
0.042984,2.808439
0.043042,2.751166
0.043099,2.721645
0.043156,2.730394
0.043214,2.758314
0.043271,2.798437
0.043328,2.839964
0.043385,2.885530
0.043443,2.911985
0.043500,2.912243
0.043557,2.906712
0.043615,2.900315
0.043672,2.891633
0.043729,2.901354
0.043786,2.913552
0.043844,2.910620
0.043901,2.894592
0.043958,2.881175
0.044016,2.875317
0.044073,2.871843
0.044130,2.868144
0.044187,2.879461
0.044245,2.898891
0.044302,2.904829
0.044359,2.903945
0.044417,2.900213
0.044474,2.892724
0.044531,2.882351
0.044589,2.883384
0.044646,2.899303
0.044703,2.916513
0.044760,2.908377
0.044818,2.867610
0.044875,2.802937
0.044932,2.729210
0.044990,2.660525
0.045047,2.606371
0.045104,2.589060
0.045161,2.618923
0.045219,2.684604
0.045276,2.764372
0.045333,2.839442
0.045391,2.886587
0.045448,2.909186
0.045505,2.911669
0.045562,2.902008
0.045620,2.896800
0.045677,2.902815
0.045734,2.915805
0.045792,2.919657
0.045849,2.911000
0.045906,2.887810
0.045964,2.866532
0.046021,2.844522
0.046078,2.820925
0.046135,2.817465
0.046193,2.835509
0.046250,2.872999
0.046307,2.902790
0.046365,2.915746
0.046422,2.907323
0.046479,2.892146
0.046536,2.881168
0.046594,2.865105
0.046651,2.865833
0.046708,2.881508
0.046766,2.908844
0.046823,2.917998
0.046880,2.888490
0.046938,2.829956
0.046995,2.741272
0.047052,2.642870
0.047109,2.530188
0.047167,2.447250
0.047224,2.425631
0.047281,2.465323
0.047339,2.553650
0.047396,2.652599
0.047453,2.746736
0.047510,2.824067
0.047568,2.875813
0.047625,2.903496
0.047682,2.900350
0.047740,2.898601
0.047797,2.900212
0.047854,2.901110
0.047911,2.908267
0.047969,2.906270
0.048026,2.899744
0.048083,2.888355
0.048141,2.865215
0.048198,2.830873
0.048255,2.783284
0.048312,2.763850
0.048370,2.777664
0.048427,2.811415
0.048484,2.856447
0.048542,2.883318
0.048599,2.889898
0.048656,2.889516
0.048714,2.880302
0.048771,2.869090
0.048828,2.854639
0.048885,2.851928
0.048943,2.870852
0.049000,2.893826
0.049057,2.912674
0.049115,2.914969
0.049172,2.888748
0.049229,2.840522
0.049286,2.761075
0.049344,2.649104
0.049401,2.522142
0.049458,2.398537
0.049516,2.314063
0.049573,2.308078
0.049630,2.371373
0.049687,2.476710
0.049745,2.588954
0.049802,2.689496
0.049859,2.777023
0.049917,2.842966
0.049974,2.883786
0.050031,2.902901
0.050089,2.904912
0.050146,2.902118
0.050203,2.904528
0.050260,2.907861
0.050318,2.906444
0.050375,2.902395
0.050432,2.900962
0.050490,2.898373
0.050547,2.882725
0.050604,2.848937
0.050661,2.806373
0.050719,2.768451
0.050776,2.746640
0.050833,2.753579
0.050891,2.785419
0.050948,2.821516
0.051005,2.849197
0.051062,2.867197
0.051120,2.875725
0.051177,2.875372
0.051234,2.869041
0.051292,2.863590
0.051349,2.863735
0.051406,2.866548
0.051464,2.871960
0.051521,2.886058
0.051578,2.904322
0.051635,2.910523
0.051693,2.898292
0.051750,2.865541
0.051807,2.805155
0.051865,2.718150
0.051922,2.611985
0.051979,2.500178
0.052036,2.404599
0.052094,2.338214
0.052151,2.315631
0.052208,2.349616
0.052266,2.431686
0.052323,2.535909
0.052380,2.640638
0.052437,2.736270
0.052495,2.813739
0.052552,2.867978
0.052609,2.897196
0.052667,2.907436
0.052724,2.912375
0.052781,2.911992
0.052839,2.906455
0.052896,2.905938
0.052953,2.910138
0.053010,2.910860
0.053068,2.908873
0.053125,2.905388
0.053182,2.896862
0.053240,2.881853
0.053297,2.856399
0.053354,2.823973
0.053411,2.800620
0.053469,2.788170
0.053526,2.780699
0.053583,2.785650
0.053641,2.803405
0.053698,2.825652
0.053755,2.848865
0.053812,2.868384
0.053870,2.878051
0.053927,2.882368
0.053984,2.879978
0.054042,2.865050
0.054099,2.851348
0.054156,2.855358
0.054214,2.867392
0.054271,2.881213
0.054328,2.898870
0.054385,2.912270
0.054443,2.914266
0.054500,2.904526
0.054557,2.874052
0.054615,2.822620
0.054672,2.765773
0.054729,2.702328
0.054786,2.623223
0.054844,2.548037
0.054901,2.499265
0.054958,2.468471
0.055016,2.452757
0.055073,2.467570
0.055130,2.517408
0.055188,2.590654
0.055245,2.673284
0.055302,2.746132
0.055359,2.799679
0.055417,2.847800
0.055474,2.889351
0.055531,2.907553
0.055589,2.907149
0.055646,2.908776
0.055703,2.909080
0.055760,2.902939
0.055818,2.901599
0.055875,2.907836
0.055932,2.913118
0.055990,2.913855
0.056047,2.907603
0.056104,2.889337
0.056161,2.876302
0.056219,2.881027
0.056276,2.882257
0.056333,2.863913
0.056391,2.841700
0.056448,2.834808
0.056505,2.832594
0.056563,2.822389
0.056620,2.812779
0.056677,2.816407
0.056734,2.830745
0.056792,2.846993
0.056849,2.860143
0.056906,2.862925
0.056964,2.860979
0.057021,2.864217
0.057078,2.863440
0.057135,2.849937
0.057193,2.840017
0.057250,2.848483
0.057307,2.860688
0.057365,2.862783
0.057422,2.863173
0.057479,2.875327
0.057536,2.896946
0.057594,2.910401
0.057651,2.904065
0.057708,2.875292
0.057766,2.834091
0.057823,2.795319
0.057880,2.762477
0.057937,2.728220
0.057995,2.692548
0.058052,2.664673
0.058109,2.641360
0.058167,2.607771
0.058224,2.566342
0.058281,2.542749
0.058339,2.556675
0.058396,2.604462
0.058453,2.666121
0.058510,2.725067
0.058568,2.777756
0.058625,2.826779
0.058682,2.868837
0.058740,2.897207
0.058797,2.908372
0.058854,2.907640
0.058911,2.903750
0.058969,2.898917
0.059026,2.890912
0.059083,2.881985
0.059141,2.880766
0.059198,2.889767
0.059255,2.901905
0.059312,2.905522
0.059370,2.897461
0.059427,2.885642
0.059484,2.877904
0.059542,2.875482
0.059599,2.876143
0.059656,2.875766
0.059714,2.872995
0.059771,2.869897
0.059828,2.862259
0.059885,2.839822
0.059943,2.800052
0.060000,2.753801
0.060057,2.718080
0.060115,2.707277
0.060172,2.722297
0.060229,2.751363
0.060286,2.784223
0.060344,2.816895
0.060401,2.843355
0.060458,2.856735
0.060516,2.857063
0.060573,2.850664
0.060630,2.845657
0.060687,2.846250
0.060745,2.850536
0.060802,2.853469
0.060859,2.852938
0.060917,2.853018
0.060974,2.860615
0.061031,2.877538
