Period(hours),RMSE
0.041667,5.271349
0.041724,5.280873
0.041781,5.237823
0.041839,5.133928
0.041896,5.174782
0.041953,5.209208
0.042010,5.240884
0.042068,5.288795
0.042125,5.196487
0.042182,5.234285
0.042240,5.245903
0.042297,5.224941
0.042354,5.298932
0.042411,5.252343
0.042469,5.241835
0.042526,5.209805
0.042583,5.186274
0.042641,5.234094
0.042698,5.169634
0.042755,5.108354
0.042812,5.136439
0.042870,5.193879
0.042927,5.283695
0.042984,5.273415
0.043042,5.228588
0.043099,5.211860
0.043156,5.203430
0.043214,5.241490
0.043271,5.297353
0.043328,5.267965
0.043385,5.227023
0.043443,5.181685
0.043500,5.184300
0.043557,5.263308
0.043615,5.201097
0.043672,5.091785
0.043729,5.052444
0.043786,5.092364
0.043844,5.174306
0.043901,5.260265
0.043958,5.265490
0.044016,5.220990
0.044073,5.194285
0.044130,5.195128
0.044187,5.223345
0.044245,5.218078
0.044302,5.131462
0.044359,5.055959
0.044417,5.056758
0.044474,5.055711
0.044531,5.052753
0.044589,5.125568
0.044646,5.048508
0.044703,5.053284
0.044760,5.095498
0.044818,5.169272
0.044875,5.259479
0.044932,5.190594
0.044990,4.922328
0.045047,4.924197
0.045104,5.014444
0.045161,4.993524
0.045219,4.927483
0.045276,4.910967
0.045333,4.904675
0.045391,4.995868
0.045448,5.096776
0.045505,5.099015
0.045562,5.186701
0.045620,5.254875
0.045677,5.176292
0.045734,5.180107
0.045792,5.199345
0.045849,5.164474
0.045906,5.129014
0.045964,5.048947
0.046021,4.932957
0.046078,4.955101
0.046135,5.053925
0.046193,5.124188
0.046250,5.147435
0.046307,5.108725
0.046365,5.016476
0.046422,4.947406
0.046479,4.898999
0.046536,4.866159
0.046594,4.890290
0.046651,4.973060
0.046708,5.066938
0.046766,5.161345
0.046823,5.264908
0.046880,5.315775
0.046938,5.280736
0.046995,5.186590
0.047052,4.988067
0.047109,4.763531
0.047167,4.535309
0.047224,4.360235
0.047281,4.207245
0.047339,4.109296
0.047396,4.124470
0.047453,4.197479
0.047510,4.335052
0.047568,4.544970
0.047625,4.766394
0.047682,4.946243
0.047740,5.162470
0.047797,5.287678
0.047854,5.260649
0.047911,5.187552
0.047969,5.100575
0.048026,4.991632
0.048083,4.883568
0.048141,4.756368
0.048198,4.653273
0.048255,4.584483
0.048312,4.531166
0.048370,4.637961
0.048427,4.771414
0.048484,4.865173
0.048542,4.882529
