Phase,Mag,MagErr,Curve
0.000000,15.892091,0.069667,15.851094
0.047996,15.847297,0.059000,15.877605
0.129639,15.851980,0.058000,15.863138
0.277165,15.774611,0.058000,15.771458
0.313190,15.758766,0.055000,15.755418
0.562521,15.873503,0.061000,15.849769
0.605711,15.871354,0.060000,15.874956
0.634557,15.861144,0.061000,15.881360
0.762911,15.824695,0.064333,15.804523
0.810974,15.756900,0.059000,15.765583
0.854218,15.752754,0.060000,15.750868
0.890246,15.713741,0.055000,15.758898
0.124647,15.870579,0.057000,15.865741
0.224170,15.825672,0.050000,15.801914
0.291361,15.780293,0.047333,15.764609
0.344177,15.747852,0.045333,15.745833
0.398091,15.778916,0.047000,15.742844
0.513491,15.805243,0.047333,15.808877
0.556696,15.827761,0.048667,15.845322
0.639433,15.909781,0.058000,15.881469
0.718508,15.847786,0.060000,15.845128
0.754494,15.781939,0.055000,15.812440
0.578523,15.888357,0.069000,15.860893
0.607299,15.899147,0.069000,15.875553
0.693732,15.841522,0.061000,15.863451
0.788347,15.792261,0.056000,15.781954
0.841131,15.762155,0.053000,15.752628
0.898747,15.752071,0.051333,15.763391
0.941943,15.804590,0.052000,15.797428
0.015589,15.836240,0.053333,15.862405
0.051599,15.882563,0.055000,15.878521
0.185031,15.860637,0.053000,15.827936
0.273413,15.765684,0.048667,15.773372
0.345407,15.738994,0.047333,15.745552
0.393400,15.728533,0.046000,15.742261
0.777791,15.764855,0.046667,15.790950
0.830569,15.786416,0.046667,15.755823
0.898589,15.797041,0.047333,15.763299
0.990527,15.853770,0.049333,15.843225
0.038489,15.840976,0.048667,15.874424
0.134481,15.843722,0.048667,15.860476
0.190939,15.797298,0.047333,15.823917
0.238616,15.786835,0.046667,15.792935
0.291394,15.761728,0.045333,15.764595
0.339384,15.726266,0.043333,15.747004
0.388225,15.712477,0.042667,15.741819
0.465846,15.784143,0.045333,15.771194
0.513848,15.772015,0.044667,15.809186
0.566657,15.852574,0.048000,15.852809
0.631193,15.858351,0.049000,15.881116
0.660349,15.901421,0.045000,15.878631
0.741928,15.861774,0.042333,15.824266
0.848886,15.770905,0.035333,15.751285
0.925726,15.729905,0.032667,15.782909
0.992945,15.860196,0.036333,15.845295
0.043512,15.901417,0.037667,15.876242
0.116390,15.899400,0.036333,15.869692
0.169244,15.854295,0.034333,15.838637
0.212446,15.826818,0.033333,15.809501
0.261246,15.800696,0.031667,15.779851
0.367400,15.739490,0.029667,15.742081
0.434550,15.758781,0.028667,15.753543
0.487359,15.783677,0.028667,15.787055
0.562775,15.819337,0.029333,15.849959
0.615591,15.846901,0.029667,15.878223
0.649170,15.877712,0.030000,15.880815
0.790011,15.769324,0.027333,15.780602
0.909708,15.763176,0.027000,15.770446
0.962479,15.810738,0.028333,15.817146
0.052315,15.900461,0.030000,15.878684
0.093135,15.867138,0.029500,15.877896
0.186789,15.790043,0.027000,15.826739
0.215613,15.781167,0.026000,15.807428
0.303367,15.758214,0.025667,15.759337
0.346572,15.732402,0.025000,15.745295
0.389800,15.757589,0.026333,15.741931
0.432996,15.773774,0.026667,15.752864
0.483547,15.775994,0.027000,15.784069
0.546808,15.856267,0.029000,15.837397
0.587631,15.886776,0.029500,15.866360
0.792929,15.759662,0.029000,15.778280
0.855345,15.740265,0.033333,15.750834
0.891343,15.798086,0.044500,15.759427
