Phase,Mag,MagErr,Curve
0.000000,15.533000,0.013000,15.578395
0.057195,15.489000,0.009000,15.559942
0.228770,15.448000,0.015000,15.508781
0.321747,15.435000,0.020000,15.543995
0.464593,15.575667,0.008667,15.632064
0.521748,15.552000,0.009000,15.617076
0.621860,15.440500,0.006500,15.525683
0.788018,15.413333,0.012667,15.505536
0.380889,15.684333,0.006333,15.589616
0.438120,15.722000,0.006000,15.625416
0.552388,15.673333,0.005333,15.593958
0.609583,15.645000,0.011000,15.537554
0.684547,15.548000,0.011500,15.483096
0.260604,15.509667,0.019333,15.513727
0.296029,15.510333,0.019667,15.528145
0.325657,15.490500,0.019000,15.546727
0.419189,15.591667,0.020333,15.616164
0.501268,15.631333,0.021000,15.627091
0.536801,15.643000,0.021667,15.606783
0.576129,15.557333,0.020333,15.571427
0.647319,15.505000,0.019000,15.503966
0.755655,15.480000,0.018000,15.487705
0.827121,15.530000,0.017000,15.532424
0.886194,15.544333,0.015667,15.568071
0.939459,15.562500,0.015000,15.583056
0.085694,15.499667,0.019000,15.548385
0.159021,15.479500,0.016000,15.519957
0.150242,15.503667,0.026667,15.522858
0.267012,15.556000,0.032000,15.515640
0.331977,15.550000,0.030000,15.551290
0.389373,15.645000,0.031000,15.596113
0.487645,15.694000,0.038333,15.630929
0.573483,15.558667,0.037333,15.574061
0.672512,15.486667,0.033000,15.488174
0.745746,15.479000,0.032000,15.483806
0.821877,15.525333,0.034333,15.528748
0.876212,15.566667,0.036000,15.563198
0.912772,15.570000,0.033000,15.577948
0.979344,15.631000,0.036000,15.582200
0.056502,15.561333,0.032667,15.560212
0.250531,15.515500,0.032000,15.511351
0.525923,15.595000,0.033000,15.614452
0.850748,15.573500,0.035500,15.548356
0.115488,15.503000,0.027500,15.536049
0.313020,15.538000,0.027000,15.538178
0.388631,15.630000,0.039000,15.595554
0.705185,15.460500,0.068000,15.478430
0.826859,15.539500,0.038000,15.532241
0.981884,15.646667,0.026333,15.581842
0.017244,15.608667,0.025667,15.573850
0.052763,15.597333,0.025333,15.561654
0.121834,15.550000,0.024333,15.533493
0.162197,15.530000,0.023000,15.518966
0.244906,15.552333,0.024333,15.510356
0.296105,15.574333,0.025000,15.528186
0.353262,15.595000,0.025333,15.567655
0.424458,15.655000,0.027333,15.619065
0.464073,15.683667,0.030000,15.632013
0.487830,15.674000,0.029000,15.630893
0.656485,15.538333,0.025333,15.497467
0.692044,15.493333,0.024000,15.480804
0.727533,15.507000,0.023667,15.479133
0.766929,15.553000,0.024000,15.493136
0.810482,15.580000,0.025000,15.520739
0.846115,15.583333,0.025000,15.545354
0.923630,15.610000,0.025667,15.580611
0.982155,15.623667,0.026667,15.581802
0.037732,15.596000,0.025667,15.567191
0.089089,15.559333,0.025333,15.546973
0.126450,15.548333,0.025333,15.531666
0.168950,15.540500,0.026500,15.516974
0.234203,15.539000,0.028000,15.509104
0.305443,15.582667,0.029000,15.533479
0.438711,15.660333,0.030000,15.625649
0.493069,15.637667,0.029667,15.629681
0.536527,15.599667,0.028667,15.606990
0.572292,15.543333,0.029000,15.575240
0.637789,15.528667,0.033333,15.511527
0.768354,15.483333,0.006667,15.493890
0.840283,15.523000,0.007500,15.541475
0.179570,15.521667,0.006333,15.514195
0.265880,15.495333,0.015000,15.515279
0.352192,15.542000,0.007667,15.566807
0.441237,15.586000,0.008333,15.626605
0.518620,15.594000,0.009500,15.618918
0.648094,15.497000,0.017000,15.503386
0.961352,15.569000,0.014000,15.583752
0.061991,15.537000,0.010000,15.558056
0.148422,15.521333,0.010000,15.523486
0.352548,15.544667,0.010667,15.567089
0.444203,15.597333,0.010333,15.627642
0.530633,15.576000,0.008000,15.611274
0.616943,15.542000,0.009667,15.530357
0.675187,15.449000,0.009000,15.486899
0.884773,15.544667,0.009667,15.567414
0.986600,15.541333,0.011333,15.581091
0.080707,15.497000,0.010000,15.550453
0.224641,15.463000,0.013000,15.508671
0.368495,15.503333,0.011000,15.579821
0.462410,15.590667,0.025000,15.631827
0.548766,15.562000,0.012333,15.597108
0.635153,15.454333,0.011667,15.513749
0.692700,15.404000,0.009000,15.480635
0.779006,15.473000,0.015000,15.499936
0.335104,15.522000,0.008000,15.553609
0.407036,15.570500,0.007000,15.608650
0.507733,15.612000,0.008667,15.624464
0.594042,15.550000,0.007000,15.553247
0.745851,15.499000,0.006333,15.483842
0.832164,15.525333,0.006667,15.535930
0.918476,15.564333,0.007667,15.579448
0.004789,15.586667,0.007000,15.577246
0.091101,15.560667,0.008000,15.546135
0.185834,15.528667,0.007333,15.512781
0.358345,15.556667,0.007000,15.571702
0.444654,15.606000,0.007333,15.627791
0.530966,15.597667,0.006333,15.611041
0.625349,15.553000,0.006667,15.522443
0.711662,15.495000,0.007000,15.478029
0.769320,15.487000,0.008000,15.494409
0.970717,15.581333,0.007333,15.583167
0.136910,15.568500,0.007500,15.527650
0.237607,15.552667,0.006333,15.509412
0.309531,15.568500,0.008000,15.535972
0.441691,15.633667,0.007333,15.626770
0.533501,15.608000,0.007000,15.609231
0.591048,15.554000,0.007000,15.556304
0.706126,15.490667,0.006000,15.478340
0.792438,15.506333,0.007333,15.508412
0.849975,15.542000,0.011000,15.547861
0.937114,15.566000,0.010500,15.582800
0.124120,15.548000,0.008000,15.532585
0.196163,15.508500,0.007500,15.510861
0.463174,15.624500,0.010500,15.631916
0.592642,15.577000,0.008667,15.554676
0.773216,15.499000,0.008000,15.496563
0.859532,15.554333,0.011000,15.553822
0.945844,15.573333,0.010667,15.583572
0.003385,15.580000,0.015000,15.577592
0.104085,15.554500,0.014500,15.540732
