Phase,Mag,MagErr,Curve
0.000000,18.126221,0.031333,18.116761
0.022695,18.131668,0.030667,18.139757
0.056873,18.191501,0.032333,18.233801
0.077350,18.325334,0.036333,18.320301
0.122845,18.560556,0.045000,18.531330
0.162494,18.673922,0.048667,18.642386
0.176074,18.635924,0.048000,18.655143
0.249923,18.617620,0.050000,18.616003
0.357604,18.548488,0.046000,18.575160
0.403981,18.538690,0.048000,18.513382
0.437880,18.520861,0.049333,18.477632
0.456264,18.517078,0.048000,18.462607
0.541609,18.468661,0.048000,18.396554
0.582040,18.415007,0.046000,18.413534
0.652708,18.512280,0.050667,18.548536
0.684770,18.555164,0.052333,18.594133
0.702387,18.588067,0.055000,18.607368
0.787399,18.569992,0.051000,18.593719
0.844284,18.476604,0.046667,18.479740
0.876076,18.343496,0.042333,18.373378
0.896544,18.273997,0.040333,18.301957
0.917198,18.169494,0.036000,18.236296
0.942362,18.176213,0.035333,18.172366
0.965222,18.102989,0.033000,18.133569
0.987717,18.119608,0.033000,18.116186
0.036921,18.134909,0.033000,18.170177
0.105412,18.472575,0.042000,18.454181
0.142069,18.636684,0.046000,18.598654
0.202180,18.635223,0.044667,18.651367
0.218165,18.662501,0.046000,18.639025
0.262831,18.615916,0.044000,18.611384
0.303584,18.633428,0.044000,18.608992
0.356238,18.572149,0.044000,18.576776
0.404187,18.490654,0.043667,18.513123
0.612973,18.452938,0.048000,18.466106
0.662518,18.576455,0.052333,18.565430
0.780616,18.600380,0.054000,18.599769
0.809931,18.593034,0.053333,18.562886
0.831301,18.548537,0.051500,18.516187
0.891106,18.377816,0.044333,18.320584
0.945244,18.177225,0.037000,18.166403
0.965586,18.117753,0.035667,18.133115
0.982472,18.126528,0.036000,18.118212
0.056445,18.189643,0.038000,18.232196
0.076750,18.288338,0.041500,18.317541
0.128908,18.552961,0.053333,18.554986
0.161826,18.620864,0.058000,18.641434
0.212129,18.624291,0.062000,18.644058
0.281865,18.589421,0.057000,18.609382
0.365892,18.542901,0.055000,18.564778
0.440170,18.533930,0.054000,18.475657
0.510052,18.423388,0.051333,18.417113
0.530329,18.388607,0.049000,18.401756
0.557392,18.398676,0.049000,18.395764
0.591159,18.409598,0.050333,18.426078
0.604669,18.453299,0.052000,18.449541
0.664292,18.585985,0.059333,18.568223
0.693605,18.631006,0.062000,18.601738
0.727385,18.652928,0.064000,18.614978
0.749902,18.635096,0.064000,18.613959
0.826499,18.556742,0.059000,18.528188
0.855740,18.464764,0.055667,18.443485
0.885005,18.374119,0.052333,18.341872
0.907529,18.345289,0.050667,18.265841
0.043465,18.209297,0.046667,18.188429
0.073862,18.301961,0.051000,18.304421
0.142599,18.601450,0.068000,18.600169
0.233448,18.603451,0.073000,18.626406
0.411434,18.479547,0.064000,18.504350
0.463255,18.373079,0.059667,18.457118
0.492558,18.348770,0.057000,18.432667
0.818178,18.559169,0.069667,18.546935
0.854375,18.422411,0.059333,18.447968
0.895037,18.322892,0.054000,18.307076
0.977110,18.143174,0.045667,18.121599
0.999689,18.147699,0.047000,18.116650
0.026844,18.175464,0.048000,18.147315
0.047153,18.236372,0.050667,18.199867
0.072898,18.293166,0.054000,18.300100
0.110184,18.483050,0.064000,18.476344
0.139419,18.556105,0.066667,18.590782
0.170941,18.630112,0.074667,18.651751
0.197920,18.630546,0.073000,18.653827
0.255003,18.644350,0.075500,18.613806
0.318114,18.625361,0.076333,18.606050
0.382804,18.542007,0.069667,18.541736
0.423904,18.495145,0.066667,18.490748
0.446449,18.469339,0.068000,18.470429
0.486987,18.451825,0.065333,18.437565
0.507245,18.405734,0.062667,18.419565
0.543061,18.405651,0.064000,18.396136
0.604870,18.449693,0.069667,18.449926
0.665730,18.587753,0.078000,18.570426
0.785138,18.529259,0.074667,18.595882
0.813372,18.529671,0.078333,18.556550
0.855707,18.425788,0.069667,18.443594
0.880498,18.338271,0.065333,18.357753
0.894023,18.286990,0.064000,18.310540
0.934580,18.149144,0.056333,18.189925
0.951478,18.147793,0.056000,18.154533
0.008763,18.142268,0.055667,18.122087
0.040297,18.176277,0.057000,18.179261
0.068461,18.284360,0.066000,18.280637
0.160644,18.662779,0.091000,18.639672
0.196988,18.680690,0.091000,18.654293
0.237732,18.616845,0.091000,18.623265
