JD,Mag,MagErr
2458243.372056,12.872362,0.008764
2458243.377146,12.732734,0.009684
2458243.382520,12.612830,0.010307
2458243.387752,12.542666,0.006977
2458243.393128,12.457447,0.006805
2458243.398360,12.461144,0.004118
2458243.403594,12.469969,0.004878
2458243.408971,12.475016,0.006845
2458243.414195,12.529198,0.007949
2458243.419556,12.601339,0.008262
2458243.424646,12.715263,0.008636
2458243.430136,12.867112,0.006357
2458243.435226,13.073045,0.005422
2458243.440750,13.299743,0.008086
2458243.445839,13.373920,0.006079
2458243.451399,13.471489,0.009079
2458243.456489,13.487536,0.009243
2458243.461869,13.299518,0.009307
2458243.467104,13.058501,0.008467
2458243.473252,12.819759,0.008651
2458243.478871,12.622351,0.007090
2458243.484192,12.550283,0.007323
2458243.489743,12.459211,0.004999
2458243.493984,12.412461,0.005701
2458243.503725,12.441700,0.006925
2458243.508814,12.449612,0.009241
2458243.514191,12.518497,0.008479
2458243.519425,12.620503,0.008267
2458243.524806,12.724827,0.010253
2458243.530042,12.928357,0.008559
2458243.535416,13.095134,0.006962
2458243.540648,13.361259,0.011953
2458243.545885,13.547176,0.010575
2458243.551268,13.469480,0.007583
2458243.556627,13.298188,0.011171
2458243.562256,13.157865,0.008676
2458243.567346,12.997852,0.012036
2458243.572832,12.831445,0.009842
2458243.577922,12.691702,0.012871
2458243.583455,12.593798,0.019963
2458243.588544,12.505770,0.014963
2458244.340906,13.397178,0.010120
2458244.345996,13.609038,0.009954
2458244.351392,13.447049,0.012570
2458244.356635,13.260182,0.009022
2458244.362077,13.096355,0.008807
2458244.367343,12.959222,0.008642
2458244.372585,12.832822,0.005793
2458244.377980,12.735084,0.008924
2458244.383212,12.743000,0.027704
2458244.388587,12.590476,0.022677
2458244.393676,12.536182,0.032531
2458244.400892,12.665324,0.034697
2458244.406129,12.398501,0.045104
2458244.411513,12.599005,0.018731
2458244.416747,12.596602,0.010619
2458244.422126,12.680123,0.007082
2458244.427215,12.829779,0.008330
2458244.432739,13.006819,0.010919
2458244.437828,13.206562,0.011478
2458244.451558,13.530695,0.010310
2458244.456643,13.481870,0.010904
2458244.462026,13.243023,0.013086
2458244.467261,13.028501,0.012170
2458244.473374,12.807873,0.006524
2458244.478975,12.667222,0.006809
2458244.484288,12.550674,0.012717
2458244.489825,12.480045,0.007634
2458244.495062,12.465462,0.007332
2458244.500447,12.461601,0.007890
2458244.505684,12.467792,0.005506
2458244.511069,12.531227,0.005841
2458244.516159,12.581982,0.006734
2458244.525124,12.780777,0.007852
2458244.530213,13.041174,0.010551
2458244.535761,13.178131,0.032492
2458244.540850,13.355706,0.039986
2458244.546250,13.586308,0.011248
2458244.551494,13.473094,0.007503
2458244.556879,13.267711,0.008624
2458244.562117,13.107198,0.007707
2458244.567354,12.961704,0.006616
2458244.572737,12.810595,0.009427
2458244.577979,12.674015,0.009114
2458244.583373,12.624106,0.008146
2458244.587614,12.748308,0.025014
2458245.331896,13.072199,0.010870
2458245.336986,13.248645,0.012021
2458245.342375,13.512912,0.009353
2458245.347627,13.537740,0.010522
2458245.352999,13.375257,0.007301
2458245.358230,13.214719,0.006694
2458245.363471,13.051683,0.011792
2458245.368864,12.915262,0.010666
2458245.374109,12.764518,0.010298
2458245.379511,12.614057,0.003310
2458245.384601,12.570176,0.007824
2458245.390091,12.534515,0.011096
2458245.395181,12.493085,0.004451
2458245.400680,12.499590,0.009210
2458245.405770,12.469899,0.009742
2458245.411278,12.552712,0.009434
2458245.416368,12.601894,0.006979
2458245.421787,12.709176,0.008499
2458245.427041,12.853547,0.008754
2458245.432454,13.045054,0.006626
2458245.437706,13.242470,0.005817
2458245.442932,13.341706,0.006220
2458245.448296,13.453641,0.005826
2458245.453534,13.493935,0.007669
2458245.458920,13.370975,0.008504
2458245.464010,13.114280,0.009219
2458245.470691,12.875959,0.006109
2458245.475780,12.724104,0.010418
2458245.481557,12.612747,0.008691
2458245.486647,12.542251,0.005929
2458245.492174,12.511641,0.008620
2458245.497263,12.469135,0.008220
2458245.502670,12.477116,0.009664
2458245.507918,12.466651,0.008251
2458245.513299,12.525273,0.007647
2458245.518534,12.636924,0.008444
2458245.523769,12.785356,0.008665
2458245.529151,12.933996,0.007163
2458245.534376,13.198768,0.007653
2458245.539736,13.379255,0.008137
2458245.544825,13.595100,0.012612
2458245.550329,13.443009,0.008400
2458245.555418,13.263500,0.006270
2458245.560948,13.158623,0.006909
2458245.566038,12.959116,0.007978
2458245.571578,12.851852,0.008476
2458245.576667,12.727616,0.008867
2458245.580060,12.701838,0.010737
