Period(hours),RMSE
1.000000,7.629636
1.001100,7.714349
1.002200,7.585402
1.003300,7.675477
1.004400,7.713377
1.005500,7.687259
1.006600,7.732382
1.007700,7.696968
1.008800,7.655205
1.009900,7.731902
1.011000,7.671375
1.012100,7.707305
1.013200,7.672274
1.014300,7.614001
1.015400,7.718392
1.016500,7.693000
1.017600,7.676210
1.018700,7.690091
1.019800,7.673680
1.020900,7.745259
1.022000,7.705396
1.023100,7.633175
1.024200,7.669423
1.025300,7.631258
1.026400,7.712023
1.027500,7.700346
1.028600,7.679033
1.029700,7.699228
1.030800,7.722940
1.031900,7.705933
1.033000,7.665927
1.034100,7.626395
1.035200,7.624148
1.036300,7.642587
1.037400,7.723141
1.038500,7.734513
1.039600,7.714342
1.040700,7.722666
1.041800,7.716462
1.042900,7.667950
1.044000,7.655756
1.045100,7.636046
1.046200,7.625813
1.047300,7.693288
1.048400,7.740962
1.049500,7.700455
1.050600,7.643817
1.051700,7.574359
1.052800,7.667469
1.053900,7.637628
1.055000,7.691711
1.056100,7.688239
1.057200,7.703320
1.058300,7.686607
1.059400,7.704870
1.060500,7.688893
1.061600,7.655548
1.062700,7.612919
1.063800,7.641899
1.064900,7.686479
1.066000,7.648222
1.067100,7.702921
1.068200,7.631852
1.069300,7.643449
1.070400,7.607338
1.071500,7.684362
1.072600,7.703282
1.073700,7.703829
1.074800,7.633917
1.075900,7.717001
1.077000,7.736354
1.078100,7.705405
1.079200,7.648034
1.080300,7.584832
1.081400,7.597312
1.082500,7.641877
1.083600,7.673546
1.084700,7.688465
1.085800,7.715374
1.086900,7.726211
1.088000,7.724981
1.089100,7.640081
1.090200,7.611572
1.091300,7.633587
1.092400,7.612415
1.093500,7.632397
1.094600,7.685436
1.095700,7.701951
1.096800,7.723465
1.097900,7.721626
1.099000,7.658323
1.100100,7.666688
1.101200,7.701936
1.102300,7.674302
1.103400,7.698916
1.104500,7.704286
1.105600,7.687527
1.106700,7.651686
1.107800,7.716909
1.108900,7.727494
1.110000,7.673657
1.111100,7.642411
1.112200,7.677018
1.113300,7.702335
1.114400,7.684457
1.115500,7.712563
1.116600,7.714528
1.117700,7.659534
1.118800,7.699403
1.119900,7.686450
1.121000,7.692278
1.122100,7.735545
1.123200,7.712725
1.124300,7.705621
1.125400,7.719428
1.126500,7.740194
1.127600,7.715510
1.128700,7.724265
1.129800,7.689732
1.130900,7.608433
1.132000,7.634704
1.133100,7.662435
1.134200,7.689585
1.135300,7.732583
1.136400,7.713252
1.137500,7.731642
1.138600,7.728982
1.139700,7.724764
1.140800,7.709112
1.141900,7.732706
1.143000,7.699703
1.144100,7.682171
1.145200,7.677097
1.146300,7.659099
1.147400,7.710926
1.148500,7.744506
1.149600,7.701930
1.150700,7.744441
1.151800,7.728332
1.152900,7.709356
1.154000,7.716206
1.155100,7.705492
1.156200,7.748771
1.157300,7.719734
1.158400,7.661740
1.159500,7.685193
1.160600,7.699357
1.161700,7.734468
1.162800,7.721824
1.163900,7.689481
1.165000,7.750618
1.166100,7.726197
1.167200,7.712445
1.168300,7.712577
1.169400,7.698812
1.170500,7.731521
1.171600,7.678115
1.172700,7.600336
1.173800,7.685450
1.174900,7.694738
1.176000,7.695267
1.177100,7.691587
1.178200,7.664231
1.179300,7.750478
1.180400,7.738181
1.181500,7.677453
1.182600,7.688426
1.183700,7.651443
1.184800,7.717916
1.185900,7.705854
1.187000,7.593516
1.188100,7.715568
1.189200,7.742015
1.190300,7.703941
1.191400,7.738515
1.192500,7.702165
1.193600,7.728908
1.194700,7.736565
1.195800,7.683697
1.196900,7.670620
1.198000,7.708747
1.199100,7.670400
1.200200,7.672241
1.201300,7.651743
1.202400,7.654926
1.203500,7.748050
1.204600,7.755290
1.205700,7.710695
1.206800,7.729482
1.207900,7.704147
1.209000,7.737298
1.210100,7.748195
1.211200,7.690282
1.212300,7.686836
1.213400,7.700906
1.214500,7.689431
1.215600,7.665797
1.216700,7.691454
1.217800,7.709022
1.218900,7.713229
1.220000,7.718087
1.221100,7.712649
1.222200,7.746115
1.223300,7.715594
1.224400,7.723806
1.225500,7.707752
1.226600,7.698401
1.227700,7.712499
1.228800,7.734483
1.229900,7.722821
1.231000,7.679605
1.232100,7.682760
1.233200,7.699562
1.234300,7.725860
1.235400,7.731436
1.236500,7.725511
1.237600,7.712452
1.238700,7.711108
1.239800,7.712851
1.240900,7.739583
1.242000,7.733700
1.243100,7.714316
1.244200,7.721582
1.245300,7.735106
1.246400,7.754109
1.247500,7.749792
1.248600,7.756289
1.249700,7.728372
1.250800,7.707285
1.251900,7.698453
1.253000,7.706769
1.254100,7.698042
1.255200,7.672885
1.256300,7.628984
1.257400,7.664448
1.258500,7.676424
1.259600,7.705171
1.260700,7.703962
1.261800,7.720919
