Phase,Mag,MagErr,Curve
0.000000,14.392251,0.041500,14.414074
0.057484,14.449245,0.052000,14.448432
0.070129,14.502317,0.059333,14.461579
0.083086,14.502724,0.047000,14.476625
0.121139,14.541941,0.058333,14.527067
0.137403,14.552034,0.065333,14.549798
0.153582,14.582626,0.084000,14.571887
0.704003,14.575117,0.013000,14.562056
0.737013,14.591978,0.013000,14.593821
0.770041,14.600505,0.012667,14.606289
0.803055,14.610366,0.012333,14.595560
0.825068,14.575829,0.012000,14.576495
0.882239,14.511832,0.011000,14.501668
0.915264,14.469693,0.011000,14.458642
0.948309,14.433554,0.010000,14.427599
0.981355,14.424748,0.010000,14.413745
0.017818,14.424629,0.010333,14.419661
0.093923,14.478409,0.011000,14.490220
0.145335,14.541711,0.011000,14.560751
0.178363,14.597572,0.011333,14.602537
0.200394,14.629035,0.012000,14.624068
0.247471,14.652977,0.013000,14.642112
0.280479,14.630504,0.013000,14.627643
0.317179,14.593720,0.012667,14.588022
0.361253,14.512978,0.012000,14.522179
0.418168,14.449311,0.012000,14.442659
0.458399,14.409214,0.011667,14.406962
0.498793,14.383117,0.012000,14.391653
0.531837,14.398977,0.012000,14.393153
0.565782,14.403842,0.012333,14.406898
0.633160,14.456235,0.013000,14.469507
0.666213,14.497428,0.014000,14.512934
0.688225,14.555890,0.015000,14.542429
0.743257,14.582211,0.015000,14.597857
0.814266,14.585958,0.016000,14.586898
0.862008,14.523569,0.016000,14.530142
0.906042,14.476158,0.015333,14.469776
0.944335,14.446047,0.015000,14.430485
0.985278,14.408285,0.014333,14.413330
0.018308,14.403810,0.014667,14.419884
0.051366,14.445335,0.015333,14.442690
0.084411,14.487194,0.016000,14.478242
0.127021,14.531107,0.017333,14.535291
0.170094,14.581356,0.021667,14.592910
0.075152,14.467784,0.011000,14.467239
0.119155,14.526379,0.011000,14.524301
0.152335,14.554576,0.011667,14.570224
0.192834,14.633483,0.012333,14.617445
0.234970,14.652400,0.012667,14.641620
0.276045,14.633644,0.013000,14.630876
0.320330,14.577907,0.012000,14.583748
0.364417,14.523835,0.012000,14.517261
0.400626,14.468382,0.011333,14.464326
0.450510,14.405011,0.011000,14.412330
0.483535,14.382207,0.011000,14.395110
0.516580,14.379402,0.011000,14.390977
0.544121,14.398732,0.011000,14.396714
0.628841,14.473399,0.012000,14.464248
0.661865,14.509927,0.012333,14.507034
0.694920,14.540789,0.013000,14.550993
0.727962,14.574984,0.013000,14.586732
0.764081,14.603530,0.013667,14.605722
0.813851,14.595156,0.014000,14.587259
0.854229,14.539727,0.014000,14.540845
0.879909,14.508212,0.013000,14.504937
0.923937,14.435804,0.013000,14.449043
0.962261,14.415029,0.013000,14.419506
0.003186,14.406603,0.013000,14.414704
0.043580,14.422173,0.014000,14.436023
0.080296,14.472055,0.015000,14.473265
0.113349,14.496915,0.015333,14.516254
0.162610,14.576871,0.020667,14.583637
0.188141,14.618020,0.027000,14.612912
0.404620,14.438580,0.012667,14.459106
0.452477,14.410880,0.011000,14.410917
0.485717,14.395755,0.011000,14.394447
0.518947,14.401630,0.011000,14.391150
0.546568,14.391470,0.011000,14.397614
0.609560,14.467865,0.011000,14.442600
0.642805,14.500073,0.011000,14.481692
0.676020,14.524282,0.011333,14.526226
0.709233,14.588490,0.012000,14.568062
0.752837,14.601764,0.011667,14.602583
0.796445,14.614038,0.011667,14.599538
0.829642,14.575246,0.011333,14.571556
0.862966,14.515122,0.010333,14.528805
0.896149,14.484664,0.010333,14.482592
0.918445,14.454804,0.010000,14.455015
0.966125,14.420436,0.010333,14.417839
0.999277,14.435645,0.010000,14.413954
0.036268,14.430877,0.010000,14.430455
0.076949,14.468799,0.011000,14.469318
0.120716,14.534073,0.011000,14.526477
0.164662,14.577682,0.011667,14.586226
0.197870,14.620224,0.012000,14.621954
0.231229,14.634099,0.012000,14.640838
0.264464,14.636307,0.012000,14.637476
0.303694,14.591220,0.011667,14.604958
0.348854,14.542169,0.011333,14.541491
0.389503,14.481757,0.011000,14.479643
0.422868,14.441299,0.011000,14.437442
0.450500,14.435138,0.011000,14.412338
0.505988,14.405818,0.010667,14.390954
0.542713,14.394048,0.010000,14.396224
0.587038,14.398324,0.010333,14.421744
0.620278,14.441532,0.011000,14.454243
0.654457,14.502412,0.011333,14.497045
0.700151,14.553030,0.012000,14.557452
0.733374,14.587237,0.012667,14.591140
0.761200,14.593576,0.013000,14.605173
0.872017,14.510432,0.012667,14.516073
0.908818,14.449327,0.012333,14.466333
0.945820,14.429557,0.012000,14.429377
0.986569,14.407810,0.012000,14.413251
0.014171,14.411648,0.013000,14.418115
0.066236,14.446637,0.014000,14.457358
0.099631,14.489510,0.016000,14.497682
0.132853,14.547883,0.019500,14.543453
