Period(hours),RMSE
1.000000,35.623274
1.001100,35.619535
1.002200,35.634359
1.003300,35.657853
1.004400,35.666099
1.005500,35.648451
1.006600,35.626936
1.007700,35.616990
1.008800,35.628473
1.009900,35.644105
1.011000,35.659170
1.012100,35.684989
1.013200,35.709802
1.014300,35.729554
1.015400,35.733441
1.016500,35.726228
1.017600,35.724139
1.018700,35.720397
1.019800,35.707870
1.020900,35.691582
1.022000,35.664563
1.023100,35.666916
1.024200,35.686176
1.025300,35.712268
1.026400,35.724918
1.027500,35.716246
1.028600,35.731555
1.029700,35.745289
1.030800,35.753570
1.031900,35.781209
1.033000,35.794710
1.034100,35.806075
1.035200,35.804397
1.036300,35.784221
1.037400,35.756445
1.038500,35.722992
1.039600,35.706008
1.040700,35.681470
1.041800,35.644135
1.042900,35.628349
1.044000,35.632858
1.045100,35.654698
1.046200,35.684801
1.047300,35.708086
1.048400,35.722123
1.049500,35.735077
1.050600,35.751046
1.051700,35.756646
1.052800,35.743621
1.053900,35.725301
1.055000,35.717051
1.056100,35.721585
1.057200,35.725932
1.058300,35.717369
1.059400,35.689789
1.060500,35.655090
1.061600,35.624342
1.062700,35.593078
1.063800,35.555594
1.064900,35.521077
1.066000,35.511943
1.067100,35.539444
1.068200,35.596110
1.069300,35.661169
1.070400,35.714981
1.071500,35.751326
1.072600,35.773826
1.073700,35.786746
1.074800,35.789130
1.075900,35.774923
1.077000,35.745165
1.078100,35.710880
1.079200,35.676919
1.080300,35.644208
1.081400,35.614547
1.082500,35.580111
1.083600,35.535463
1.084700,35.482181
1.085800,35.424938
1.086900,35.373821
1.088000,35.338371
1.089100,35.323750
1.090200,35.333043
1.091300,35.365534
1.092400,35.420041
1.093500,35.493095
1.094600,35.572030
1.095700,35.643956
1.096800,35.701239
1.097900,35.742034
1.099000,35.769683
1.100100,35.786071
1.101200,35.790979
1.102300,35.783319
1.103400,35.761524
1.104500,35.732740
1.105600,35.708671
1.106700,35.690677
1.107800,35.673313
1.108900,35.649466
1.110000,35.615407
1.111100,35.579300
1.112200,35.555897
1.113300,35.551314
1.114400,35.564835
1.115500,35.591776
1.116600,35.623950
1.117700,35.657419
1.118800,35.691403
1.119900,35.721087
1.121000,35.739520
1.122100,35.741029
1.123200,35.723530
1.124300,35.692006
1.125400,35.653676
1.126500,35.606733
1.127600,35.543907
1.128700,35.465486
1.129800,35.378478
1.130900,35.287874
1.132000,35.195059
1.133100,35.097906
1.134200,34.991667
1.135300,34.877796
1.136400,34.769474
1.137500,34.684427
1.138600,34.633909
1.139700,34.618363
1.140800,34.630413
1.141900,34.665174
1.143000,34.725404
1.144100,34.813237
1.145200,34.923439
1.146300,35.045205
1.147400,35.167240
1.148500,35.282524
1.149600,35.388562
1.150700,35.484318
1.151800,35.568840
1.152900,35.638689
1.154000,35.688349
1.155100,35.718431
1.156200,35.736664
1.157300,35.748078
1.158400,35.752370
1.159500,35.747875
1.160600,35.731168
1.161700,35.699063
1.162800,35.655423
1.163900,35.611870
1.165000,35.579152
1.166100,35.561913
1.167200,35.559663
1.168300,35.569047
1.169400,35.588044
1.170500,35.617273
1.171600,35.655279
1.172700,35.696578
1.173800,35.734538
1.174900,35.763537
1.176000,35.779633
1.177100,35.781156
1.178200,35.767631
1.179300,35.737679
1.180400,35.688983
1.181500,35.620002
1.182600,35.531523
1.183700,35.427114
1.184800,35.311905
1.185900,35.190070
1.187000,35.062665
1.188100,34.927815
1.189200,34.783424
1.190300,34.631133
1.191400,34.479329
1.192500,34.340819
1.193600,34.225908
1.194700,34.138403
1.195800,34.077296
1.196900,34.041412
1.198000,34.033987
1.199100,34.062200
1.200200,34.129800
1.201300,34.231083
1.202400,34.353744
1.203500,34.486317
1.204600,34.622899
1.205700,34.762772
1.206800,34.906175
1.207900,35.050195
1.209000,35.188812
1.210100,35.316406
1.211200,35.430057
1.212300,35.529221
1.213400,35.614331
1.214500,35.685441
1.215600,35.741514
1.216700,35.780887
1.217800,35.802485
1.218900,35.806639
1.220000,35.795398
1.221100,35.772401
1.222200,35.742125
1.223300,35.709102
1.224400,35.677323
1.225500,35.649520
1.226600,35.627017
1.227700,35.610706
1.228800,35.601969
1.229900,35.602232
1.231000,35.611468
1.232100,35.627641
1.233200,35.647924
1.234300,35.669963
1.235400,35.691807
1.236500,35.711360
1.237600,35.726392
1.238700,35.734837
1.239800,35.734964
1.240900,35.725450
1.242000,35.705348
1.243100,35.673946
1.244200,35.630694
1.245300,35.575361
1.246400,35.508309
1.247500,35.430696
1.248600,35.344644
1.249700,35.253284
1.250800,35.160231
1.251900,35.068338
1.253000,34.978780
1.254100,34.891724
1.255200,34.807957
1.256300,34.729804
1.257400,34.660685
1.258500,34.603663
1.259600,34.559929
1.260700,34.528519
1.261800,34.507699
1.262900,34.496919
1.264000,34.498065
1.265100,34.515272
1.266200,34.553019
1.267300,34.613163
1.268400,34.693006
1.269500,34.785992
1.270600,34.884450
1.271700,34.982631
1.272800,35.078541
1.273900,35.173407
1.275000,35.268878
1.276100,35.364120
1.277200,35.454929
1.278300,35.535022
1.279400,35.598423
1.280500,35.641962
1.281600,35.666974
1.282700,35.678905
1.283800,35.684357
1.284900,35.687089
1.286000,35.685659
1.287100,35.674553
1.288200,35.648564
1.289300,35.607861
1.290400,35.559961
1.291500,35.516597
1.292600,35.487573
1.293700,35.476320
1.294800,35.479797
1.295900,35.491424
1.297000,35.504636
1.298100,35.515583
1.299200,35.523989
1.300300,35.532222
1.301400,35.543504
1.302500,35.559681
1.303600,35.579269
1.304700,35.597611
1.305800,35.610069
1.306900,35.615733
1.308000,35.618109
1.309100,35.622662
1.310200,35.633849
1.311300,35.653137
1.312400,35.677713
1.313500,35.700727
1.314600,35.714416
1.315700,35.714113
1.316800,35.699641
1.317900,35.673658
1.319000,35.639057
1.320100,35.597326
1.321200,35.548288
1.322300,35.491154
1.323400,35.426749
1.324500,35.359444
1.325600,35.296552
1.326700,35.245218
1.327800,35.209721
1.328900,35.191136
1.330000,35.187932
1.331100,35.196341
1.332200,35.211548
1.333300,35.229830
1.334400,35.249791
1.335500,35.271655
1.336600,35.295632
1.337700,35.320865
1.338800,35.345447
1.339900,35.367278
1.341000,35.385301
1.342100,35.400482
1.343200,35.415755
1.344300,35.434753
1.345400,35.459970
1.346500,35.491196
1.347600,35.524945
1.348700,35.555649
1.349800,35.578567
1.350900,35.592617
1.352000,35.600817
1.353100,35.607919
1.354200,35.617201
1.355300,35.628689
1.356400,35.639351
1.357500,35.644480
1.358600,35.639721
1.359700,35.623240
1.360800,35.596776
1.361900,35.564794
1.363000,35.532695
1.364100,35.505294
1.365200,35.485625
1.366300,35.473954
1.367400,35.467776
1.368500,35.463395
1.369600,35.458184
1.370700,35.451921
1.371800,35.446565
1.372900,35.444976
1.374000,35.449432
1.375100,35.460569
1.376200,35.477167
1.377300,35.496915
1.378400,35.517638
1.379500,35.538172
1.380600,35.558492
1.381700,35.579284
1.382800,35.601210
1.383900,35.623991
1.385000,35.645725
1.386100,35.663331
1.387200,35.674201
1.388300,35.677732
1.389400,35.675470
