    CJ95O010  1997 03 29.7478  0.898800  0.994957  130.4837  283.1766   89.0768  20210728  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.8926  2.588688  0.314248  333.3273   40.0197    2.6005  20210728  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK   1615
    PJ97B010  2022 03 28.7487  2.055998  0.760260  183.3344  328.8815   12.3395  20210728  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC 30063
    PJ98V24S  2018 01 18.2317  3.430718  0.242346  244.6193  159.0358    5.0261  20210728  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 75703
    PJ99R28O  2019 06 26.2872  1.123066  0.672259  231.2641  137.8857    7.5673  20210728  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK    731
    PJ99XC0N  2017 06  9.5592  3.300577  0.210212  161.8193  285.2966    5.0296  20210728  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 75704
    PK00R020  2019 06 17.5457  1.623772  0.531612  176.5433  160.2873   11.6864  20210728  18.0  4.0  P/2000 R2 (LINEAR)                                       NK    744
    PK01H050  2015 10 17.9733  2.448874  0.598391  224.8429  328.6829    8.3668  20210728  12.0  4.0  P/2001 H5 (NEAT)                                         MPC 43019
    PK01Q060  2024 02 28.7661  1.407887  0.822994   42.9302   22.1591   56.9089  20210728  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC 75704
    PK02E57J  2018 06 17.9320  2.637284  0.592389  167.3548  330.3259    4.9762  20210728  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC 47727
    PK02T060  2024 07 22.1286  3.376126  0.560778  219.6651  206.2537   10.8378  20210728  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC109588
    CK02V94Q  2006 01 27.3294  6.828951  0.963087  100.1163   35.0607   70.6149  20210728   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC 75007
    PK03F020  2019 11 12.6974  2.975270  0.542268  192.1174  359.0293   11.6062  20210728  16.5  2.0  P/2003 F2 (NEAT)                                         MPC 50354
    PK03Q29X  2025 08  5.4148  4.230253  0.472983   37.5043  264.5653   11.3902  20210728   8.5  4.0  P/2003 QX29 (NEAT)                                       MPC 50139
    PK03T120  2020 05  6.9071  0.595336  0.769779  219.7547  174.5773   11.0197  20210728  17.0  4.0  P/2003 T12 (SOHO)                                        MPC105235
    PK04A010  2027 01 21.2637  5.498666  0.309343   21.2861  124.8481   10.5516  20210728   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC 82312
    PK04D29O  2024 06  4.5594  4.071920  0.441136   40.6617  147.3725   14.5323  20210728  13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)                          MPC 54558
    PK04FE0Y  2026 05 31.8068  4.078669  0.168214  242.3832  326.7619    2.1348  20210728  12.5  2.0  P/2004 FY140 (LINEAR)                                    MPC 54823
    PK04R030  2021 09 23.3552  3.547179  0.259460   37.9948  305.4538   12.8011  20210728  14.5  4.0  P/2004 R3 (LINEAR-NEAT)                                  MPC 53304
    PK04V030  2023 11 22.2457  3.953253  0.446323  322.3617  356.1246   50.4410  20210728  11.5  4.0  P/2004 V3 (Siding Spring)                                MPC 55521
