Period(hours),RMSE
0.041667,16.621498
0.041724,16.766324
0.041781,16.581025
0.041839,16.610227
0.041896,16.038242
0.041953,16.311219
0.042010,15.646346
0.042068,16.334778
0.042125,15.983231
0.042182,16.516933
0.042240,16.254065
0.042297,16.758044
0.042354,16.637228
0.042411,16.947428
0.042469,16.781689
0.042526,16.323391
0.042583,16.080590
0.042641,16.021515
0.042698,15.976807
0.042755,16.351379
0.042812,16.659148
0.042870,16.475189
0.042927,16.837256
0.042984,16.414004
0.043042,16.803332
0.043099,16.696942
0.043156,16.375537
0.043214,16.390444
0.043271,16.404813
0.043328,16.816864
0.043385,16.511840
0.043443,16.767365
0.043500,16.717804
0.043557,16.579488
0.043615,16.293812
0.043672,16.269101
0.043729,16.062825
0.043786,15.956928
0.043844,16.182858
0.043901,15.969067
0.043958,16.370489
0.044016,16.293091
0.044073,16.621637
0.044130,16.583088
0.044187,16.684212
0.044245,16.515620
0.044302,16.814164
0.044359,16.586140
0.044417,16.577816
0.044474,16.355485
0.044531,16.520577
0.044589,16.468517
0.044646,16.454348
0.044703,16.411998
0.044760,16.783170
0.044818,16.490798
0.044875,17.016410
0.044932,16.983399
0.044990,16.986272
0.045047,16.830264
0.045104,16.157028
0.045161,16.694219
0.045219,16.370865
0.045276,16.592946
0.045333,16.911889
0.045391,16.800952
0.045448,16.747303
0.045505,16.835482
0.045562,16.294822
0.045620,16.562581
0.045677,16.330937
0.045734,16.227857
0.045792,15.972496
0.045849,16.602234
0.045906,16.089518
0.045964,16.198973
0.046021,16.691246
0.046078,16.486857
0.046135,16.512791
0.046193,16.857684
0.046250,16.463294
0.046307,16.103195
0.046365,16.680914
0.046422,16.528168
0.046479,16.353281
0.046536,16.694058
0.046594,16.605533
0.046651,16.206668
0.046708,16.396733
0.046766,16.644734
0.046823,16.328425
0.046880,16.570152
0.046938,17.031296
0.046995,16.894927
0.047052,16.855806
0.047109,16.867933
0.047167,16.536813
0.047224,16.353164
0.047281,16.838355
0.047339,16.774606
0.047396,16.745046
0.047453,16.827523
0.047510,17.078335
0.047568,16.676795
0.047625,16.695696
0.047682,16.507572
0.047740,16.466187
0.047797,16.402968
0.047854,16.444203
0.047911,16.513610
0.047969,16.494720
0.048026,16.610821
0.048083,16.538607
0.048141,16.620064
0.048198,16.800041
0.048255,16.877135
0.048312,16.935637
0.048370,16.967814
0.048427,16.814572
0.048484,16.791098
0.048542,16.546935
0.048599,16.804391
0.048656,16.689547
0.048714,16.485705
0.048771,16.421047
0.048828,16.564424
0.048885,16.666717
0.048943,16.708302
0.049000,16.409586
0.049057,16.576596
0.049115,16.783242
0.049172,16.745841
0.049229,16.922196
0.049286,16.950164
0.049344,16.770350
0.049401,16.717351
0.049458,16.769236
0.049516,16.673733
0.049573,16.564954
0.049630,16.533434
0.049687,16.787560
0.049745,16.893278
0.049802,16.866682
0.049859,16.839158
0.049917,16.871030
0.049974,16.700253
0.050031,16.666825
0.050089,16.620251
0.050146,16.286816
0.050203,16.442482
0.050260,16.019671
0.050318,15.697799
0.050375,15.845016
0.050432,16.052204
0.050490,16.610533
0.050547,16.477872
0.050604,16.703855
0.050661,16.592873
0.050719,16.592319
0.050776,16.969811
0.050833,16.617628
0.050891,16.787796
0.050948,16.632363
0.051005,16.512648
0.051062,16.722890
0.051120,16.442557
0.051177,16.502750
0.051234,16.282117
0.051292,16.459898
0.051349,16.954839
0.051406,16.887147
0.051464,16.785542
0.051521,16.798535
0.051578,16.709821
0.051635,16.714343
0.051693,16.701613
0.051750,16.924568
0.051807,17.069162
0.051865,16.866773
0.051922,16.446314
0.051979,16.538343
0.052036,16.527595
0.052094,16.371351
0.052151,16.384731
0.052208,16.546771
0.052266,16.544572
0.052323,16.208650
0.052380,16.201293
0.052437,16.524488
0.052495,16.752560
0.052552,16.615761
0.052609,16.303464
0.052667,16.388066
0.052724,16.736745
0.052781,16.446003
0.052839,16.318715
0.052896,16.417212
0.052953,16.130718
0.053010,16.166994
0.053068,16.041344
0.053125,15.931169
0.053182,16.127666
0.053240,16.287166
0.053297,15.999938
0.053354,16.086665
0.053411,16.395545
0.053469,16.439915
0.053526,16.494157
0.053583,16.507077
0.053641,16.756317
0.053698,16.637922
0.053755,16.171378
0.053812,16.531355
0.053870,16.859854
0.053927,16.548834
0.053984,16.488707
0.054042,16.553240
0.054099,15.942806
0.054156,16.116971
0.054214,16.729582
0.054271,16.313668
0.054328,16.251275
0.054385,16.872943
0.054443,16.961477
0.054500,16.782938
0.054557,16.696934
0.054615,16.548100
0.054672,16.518375
0.054729,16.513302
0.054786,16.405367
0.054844,16.448182
0.054901,16.303530
0.054958,16.001013
0.055016,16.048916
0.055073,15.873325
0.055130,15.730985
0.055188,16.107444
0.055245,16.346138
0.055302,16.362761
0.055359,16.418691
0.055417,16.777182
0.055474,16.874805
0.055531,16.902679
0.055589,16.831842
0.055646,16.688677
0.055703,16.650277
0.055760,16.582255
0.055818,16.408245
0.055875,16.196846
0.055932,15.775086
0.055990,15.375933
0.056047,15.289889
0.056104,15.287079
0.056161,15.456548
0.056219,15.795388
0.056276,16.040320
0.056333,16.115080
0.056391,16.391856
0.056448,16.657420
0.056505,16.692224
0.056563,16.739725
0.056620,16.776563
0.056677,16.812597
0.056734,16.652216
0.056792,16.531499
0.056849,16.622506
0.056906,16.644288
0.056964,16.451415
0.057021,16.290981
0.057078,16.239668
0.057135,16.088511
0.057193,15.609867
0.057250,15.950371
0.057307,16.496110
0.057365,16.417927
0.057422,16.238128
0.057479,16.550259
0.057536,16.801303
0.057594,16.447267
0.057651,16.250770
0.057708,16.457105
0.057766,16.605737
0.057823,16.308751
0.057880,16.096282
0.057937,16.357506
0.057995,16.474036
0.058052,16.088169
0.058109,15.840303
0.058167,15.764141
0.058224,15.654767
0.058281,15.507875
0.058339,15.657596
0.058396,15.771966
0.058453,15.918920
0.058510,15.935194
0.058568,16.313308
0.058625,16.798133
0.058682,16.971703
0.058740,16.853048
0.058797,16.896319
0.058854,16.961109
0.058911,16.723168
0.058969,16.272404
0.059026,16.096565
0.059083,16.147237
0.059141,15.788421
0.059198,15.231795
0.059255,15.040707
0.059312,15.054712
0.059370,15.124988
0.059427,15.411718
0.059484,15.581684
0.059542,15.463732
0.059599,15.503370
0.059656,15.894054
0.059714,16.206297
0.059771,16.207812
0.059828,16.390497
0.059885,16.776503
0.059943,16.934566
0.060000,16.936510
0.060057,16.907476
0.060115,16.861232
0.060172,16.647933
0.060229,16.500183
0.060286,16.591593
0.060344,16.616556
0.060401,16.540594
0.060458,16.388199
0.060516,16.288537
0.060573,16.276921
0.060630,16.387639
0.060687,16.480615
0.060745,16.482959
0.060802,16.455222
0.060859,16.398457
0.060917,16.035863
0.060974,15.735444
0.061031,16.026479
0.061089,16.396214
0.061146,16.479620
0.061203,16.511354
0.061260,16.310892
0.061318,16.330605
0.061375,16.449838
0.061432,16.581827
0.061490,16.551351
0.061547,16.452533
0.061604,16.330002
0.061661,16.216766
0.061719,16.197814
0.061776,16.211790
0.061833,16.212855
0.061891,16.195099
0.061948,16.162661
0.062005,16.261441
0.062062,16.453875
0.062120,16.586884
0.062177,16.576914
0.062234,16.496364
