Period(hours),RMSE
0.041667,5.628778
0.041724,5.690516
0.041781,5.746804
0.041839,5.759885
0.041896,5.666618
0.041953,5.692799
0.042010,5.668921
0.042068,5.665168
0.042125,5.630636
0.042182,5.497750
0.042240,5.644231
0.042297,5.546562
0.042354,5.689183
0.042411,5.733219
0.042469,5.688249
0.042526,5.730402
0.042583,5.688557
0.042641,5.778415
0.042698,5.774599
0.042755,5.583698
0.042812,5.571593
0.042870,5.709479
0.042927,5.615609
0.042984,5.645520
0.043042,5.669526
0.043099,5.682555
0.043156,5.599661
0.043214,5.691504
0.043271,5.807296
0.043328,5.759078
0.043385,5.790495
0.043443,5.777182
0.043500,5.764626
0.043557,5.790073
0.043615,5.712001
0.043672,5.692627
0.043729,5.601921
0.043786,5.537653
0.043844,5.585273
0.043901,5.553992
0.043958,5.623160
0.044016,5.673114
0.044073,5.553188
0.044130,5.578677
0.044187,5.746254
0.044245,5.650082
0.044302,5.628138
0.044359,5.799058
0.044417,5.752391
0.044474,5.756180
0.044531,5.795041
0.044589,5.709787
0.044646,5.809848
0.044703,5.784962
0.044760,5.749862
0.044818,5.558139
0.044875,5.577614
0.044932,5.779992
0.044990,5.722503
0.045047,5.540369
0.045104,5.682713
0.045161,5.671187
0.045219,5.731758
0.045276,5.759765
0.045333,5.694266
0.045391,5.744341
0.045448,5.698242
0.045505,5.549700
0.045562,5.432565
0.045620,5.560750
0.045677,5.762166
0.045734,5.471520
0.045792,5.448219
0.045849,5.411347
0.045906,5.708134
0.045964,5.711101
0.046021,5.518859
0.046078,5.626800
0.046135,5.647001
0.046193,5.404334
0.046250,5.488519
0.046307,5.733100
0.046365,5.753736
0.046422,5.655117
0.046479,5.689573
0.046536,5.664218
0.046594,5.738958
0.046651,5.605301
0.046708,5.702543
0.046766,5.675020
0.046823,5.529183
0.046880,5.677733
0.046938,5.648812
0.046995,5.372405
0.047052,4.981372
0.047109,5.356241
0.047167,5.687999
0.047224,5.642592
0.047281,5.055813
0.047339,5.176793
0.047396,5.400603
0.047453,5.643354
0.047510,5.718595
0.047568,5.651847
0.047625,5.628185
0.047682,5.753187
0.047740,5.461717
0.047797,5.065533
0.047854,5.469794
0.047911,5.539630
0.047969,5.804354
0.048026,5.627594
0.048083,5.410189
0.048141,5.229348
0.048198,5.538132
0.048255,5.703254
0.048312,5.736465
0.048370,5.738029
0.048427,5.767485
0.048484,5.603285
0.048542,5.574924
0.048599,5.525298
0.048656,5.497117
0.048714,5.513357
0.048771,5.481714
0.048828,5.569492
0.048885,5.704594
0.048943,5.509024
0.049000,5.345833
0.049057,5.427525
0.049115,5.568404
0.049172,5.550219
0.049229,5.296705
0.049286,5.458468
0.049344,5.741496
0.049401,5.326775
0.049458,4.277576
0.049516,4.351969
0.049573,5.354728
0.049630,5.740709
0.049687,5.534489
0.049745,5.378285
0.049802,5.434460
0.049859,5.382870
0.049917,5.665109
0.049974,5.578845
0.050031,5.606197
0.050089,5.701137
0.050146,5.678804
0.050203,5.626029
0.050260,5.672812
0.050318,5.393955
0.050375,5.387500
0.050432,5.384908
0.050490,5.704433
0.050547,5.719246
0.050604,5.615960
0.050661,5.591361
0.050719,5.687622
0.050776,5.643821
0.050833,5.683983
0.050891,5.605941
0.050948,5.645603
0.051005,5.638250
0.051062,5.726032
0.051120,5.750135
0.051177,5.694412
0.051234,5.543357
0.051292,5.046043
0.051349,5.329735
0.051406,5.406475
0.051464,5.729121
0.051521,5.554364
0.051578,5.643863
0.051635,5.471685
0.051693,5.419452
0.051750,5.372683
0.051807,5.454218
0.051865,5.181435
0.051922,5.272524
0.051979,5.625367
0.052036,5.706116
0.052094,5.555200
0.052151,5.211489
0.052208,5.262540
0.052266,5.355941
0.052323,5.661950
0.052380,5.715137
0.052437,5.562691
0.052495,5.518200
0.052552,5.680556
0.052609,5.773808
0.052667,5.782448
0.052724,5.655472
0.052781,5.705074
0.052839,5.740210
0.052896,5.717826
0.052953,5.676086
0.053010,5.804691
0.053068,5.684711
0.053125,5.705744
0.053182,5.534530
0.053240,5.331269
0.053297,5.508818
0.053354,5.693001
0.053411,5.734145
0.053469,5.556447
0.053526,5.523053
0.053583,5.644747
0.053641,5.709801
0.053698,5.729333
0.053755,5.723219
0.053812,5.659114
0.053870,5.571139
0.053927,5.644400
0.053984,5.741820
0.054042,5.701736
0.054099,5.694800
0.054156,5.579013
0.054214,5.518554
0.054271,5.682533
0.054328,5.622441
0.054385,5.699694
0.054443,5.674047
0.054500,5.636837
0.054557,5.629697
0.054615,5.582757
0.054672,5.663363
0.054729,5.742309
0.054786,5.744180
0.054844,5.690483
0.054901,5.671791
0.054958,5.804079
0.055016,5.777031
0.055073,5.683874
0.055130,5.535546
0.055188,5.633768
0.055245,5.772108
0.055302,5.753128
0.055359,5.738943
0.055417,5.803276
0.055474,5.772311
0.055531,5.787352
0.055589,5.728091
0.055646,5.691540
0.055703,5.796628
0.055760,5.728236
0.055818,5.740841
0.055875,5.713485
0.055932,5.714886
0.055990,5.650544
0.056047,5.607342
0.056104,5.676209
0.056161,5.654348
0.056219,5.591766
0.056276,5.515392
0.056333,5.396932
0.056391,5.670762
0.056448,5.784825
0.056505,5.740641
0.056563,5.768306
0.056620,5.653502
0.056677,5.697192
0.056734,5.712890
0.056792,5.531383
0.056849,5.579663
0.056906,5.657983
0.056964,5.756453
0.057021,5.819186
0.057078,5.770033
0.057135,5.815373
0.057193,5.804043
0.057250,5.755790
0.057307,5.757285
0.057365,5.676147
0.057422,5.701505
0.057479,5.785694
0.057536,5.724667
0.057594,5.781142
0.057651,5.816075
0.057708,5.741477
0.057766,5.804589
0.057823,5.780202
0.057880,5.709832
0.057937,5.712124
0.057995,5.695331
0.058052,5.691902
0.058109,5.682336
0.058167,5.734458
0.058224,5.804407
0.058281,5.790991
0.058339,5.708375
0.058396,5.814459
0.058453,5.769806
0.058510,5.681238
0.058568,5.710443
0.058625,5.613566
0.058682,5.597188
0.058740,5.745534
0.058797,5.733012
0.058854,5.815430
0.058911,5.777110
0.058969,5.777939
0.059026,5.804217
0.059083,5.780477
0.059141,5.636504
0.059198,5.538579
0.059255,5.427518
0.059312,5.554837
0.059370,5.713265
0.059427,5.712119
0.059484,5.752581
0.059542,5.719836
0.059599,5.685919
0.059656,5.586666
0.059714,5.739776
0.059771,5.675925
0.059828,5.614268
0.059885,5.688408
0.059943,5.740256
0.060000,5.783972
0.060057,5.757346
0.060115,5.690885
0.060172,5.666426
0.060229,5.689939
0.060286,5.733712
0.060344,5.749194
0.060401,5.807649
0.060458,5.802632
0.060516,5.757778
0.060573,5.730491
0.060630,5.749351
0.060687,5.793899
0.060745,5.731176
0.060802,5.647916
0.060859,5.754674
0.060917,5.784761
0.060974,5.697299
0.061031,5.764188
0.061089,5.738023
0.061146,5.652916
0.061203,5.487849
0.061260,5.568146
0.061318,5.677238
0.061375,5.752356
0.061432,5.760699
0.061490,5.750437
0.061547,5.788266
0.061604,5.789443
0.061661,5.734769
0.061719,5.780433
0.061776,5.678885
0.061833,5.578251
0.061891,5.485659
0.061948,5.572826
0.062005,5.732506
0.062062,5.749558
0.062120,5.712065
0.062177,5.634140
0.062234,5.647372
0.062292,5.668415
0.062349,5.780393
0.062406,5.734946
0.062464,5.720415
0.062521,5.721285
0.062578,5.784569
0.062635,5.785968
0.062693,5.730040
0.062750,5.730456
0.062807,5.714930
0.062865,5.705782
0.062922,5.712471
0.062979,5.743395
0.063036,5.717355
0.063094,5.696283
0.063151,5.677323
0.063208,5.769303
0.063266,5.793790
0.063323,5.736912
0.063380,5.743361
0.063437,5.716817
0.063495,5.734302
0.063552,5.708658
0.063609,5.707899
0.063667,5.731376
0.063724,5.724513
0.063781,5.686131
0.063839,5.721786
0.063896,5.742123
0.063953,5.761325
0.064010,5.727592
0.064068,5.771433
0.064125,5.758298
0.064182,5.779506
0.064240,5.772196
0.064297,5.788663
0.064354,5.786434
0.064411,5.758714
0.064469,5.772136
0.064526,5.765385
0.064583,5.703070
0.064641,5.637960
0.064698,5.620469
0.064755,5.639861
0.064812,5.648339
0.064870,5.643351
0.064927,5.661381
0.064984,5.646849
0.065042,5.648112
0.065099,5.699274
0.065156,5.738503
0.065214,5.763142
0.065271,5.695720
0.065328,5.695126
0.065385,5.645112
0.065443,5.705851
0.065500,5.774218
0.065557,5.703270
0.065615,5.654624
0.065672,5.637979
0.065729,5.643064
0.065786,5.614146
0.065844,5.668631
0.065901,5.672199
0.065958,5.615476
0.066016,5.581545
0.066073,5.634044
0.066130,5.696448
0.066187,5.732709
0.066245,5.757893
0.066302,5.786945
0.066359,5.790481
0.066417,5.803963
0.066474,5.776260
0.066531,5.782166
0.066589,5.743488
0.066646,5.769738
0.066703,5.784139
0.066760,5.733593
0.066818,5.601985
0.066875,5.636151
0.066932,5.734533
0.066990,5.779912
0.067047,5.751991
0.067104,5.776014
0.067161,5.747414
0.067219,5.779349
0.067276,5.784048
0.067333,5.800270
0.067391,5.823560
0.067448,5.782184
0.067505,5.788609
0.067562,5.725422
0.067620,5.699584
0.067677,5.658883
0.067734,5.753433
0.067792,5.796026
0.067849,5.781091
0.067906,5.700940
0.067964,5.685035
0.068021,5.693719
0.068078,5.699675
0.068135,5.738090
0.068193,5.786922
0.068250,5.802551
0.068307,5.742537
0.068365,5.747465
0.068422,5.770437
0.068479,5.758396
0.068536,5.778697
0.068594,5.758972
0.068651,5.806849
0.068708,5.751276
0.068766,5.721142
0.068823,5.648733
0.068880,5.679782
0.068937,5.664814
0.068995,5.658240
0.069052,5.745690
0.069109,5.756711
0.069167,5.674773
0.069224,5.505043
0.069281,5.544686
0.069339,5.617807
