Phase,Mag,MagErr,Curve
0.000000,18.136098,0.044000,18.123993
0.012670,18.139921,0.045667,18.130741
0.031830,18.159985,0.048000,18.143470
0.057143,18.145962,0.049333,18.164633
0.074882,18.202045,0.051000,18.181420
0.096470,18.198405,0.052667,18.201613
0.113343,18.209166,0.052000,18.214973
0.139284,18.246963,0.055000,18.227143
0.170111,18.223021,0.054000,18.225385
0.839728,18.116263,0.036333,18.112573
0.849960,18.121605,0.036000,18.110871
0.898303,18.088357,0.035333,18.107921
0.912169,18.073475,0.034667,18.107524
0.930693,18.108187,0.035333,18.107627
0.943501,18.088654,0.034667,18.108445
0.962513,18.090691,0.034667,18.111269
0.985153,18.096673,0.034333,18.117711
0.006970,18.134330,0.036333,18.127543
0.024012,18.128397,0.036000,18.137909
0.040079,18.157146,0.036667,18.149869
0.059903,18.172500,0.036333,18.167178
0.081083,18.175501,0.036333,18.187378
0.097823,18.184236,0.036333,18.202794
0.106021,18.205106,0.037000,18.209578
0.382130,18.161399,0.030333,18.171083
0.404743,18.146662,0.029667,18.148334
0.417020,18.147109,0.030000,18.138734
0.438197,18.144397,0.029333,18.128757
0.449437,18.108863,0.029500,18.126818
0.481628,18.135284,0.029500,18.129822
0.520371,18.126921,0.029000,18.138030
0.542204,18.153527,0.030000,18.144005
0.561582,18.149844,0.029667,18.153452
0.584139,18.179769,0.030333,18.172853
0.593361,18.187268,0.030333,18.183659
0.616575,18.197847,0.030667,18.216262
0.633601,18.251538,0.032000,18.241352
0.654384,18.262494,0.032000,18.266408
0.677567,18.290737,0.033333,18.278820
0.692207,18.266137,0.032667,18.275731
0.703958,18.268255,0.033000,18.267137
0.810773,18.126166,0.041333,18.124110
0.830865,18.103431,0.037333,18.114846
0.854759,18.113288,0.037000,18.110318
0.878916,18.104801,0.024000,18.108720
0.910189,18.145175,0.022000,18.107564
0.933017,18.129050,0.022667,18.107721
0.951787,18.145338,0.024000,18.109415
0.012761,18.126109,0.025667,18.130795
0.031163,18.131070,0.031333,18.142977
0.044964,18.134958,0.030000,18.153900
0.069114,18.198968,0.031000,18.175879
0.096684,18.226407,0.028000,18.201801
0.130936,18.199044,0.027667,18.224557
0.201132,18.234611,0.032333,18.212126
0.221370,18.200530,0.034333,18.204319
0.241222,18.174455,0.030333,18.201524
0.271696,18.220494,0.032000,18.207752
0.293768,18.219707,0.030000,18.215203
