Period(hours),RMSE
0.041667,4.899725
0.041724,4.888947
0.041781,4.905254
0.041839,4.954807
0.041896,4.859718
0.041953,4.700207
0.042010,4.872114
0.042068,4.776363
0.042125,4.868951
0.042182,4.718739
0.042240,4.724458
0.042297,4.425450
0.042354,4.735101
0.042411,4.637414
0.042469,4.789965
0.042526,4.957131
0.042583,4.694380
0.042641,4.918278
0.042698,4.671072
0.042755,4.822661
0.042812,4.899675
0.042870,4.868513
0.042927,4.752223
0.042984,5.012769
0.043042,4.574177
0.043099,4.883554
0.043156,4.956133
0.043214,4.650740
0.043271,4.749987
0.043328,4.596977
0.043385,4.556608
0.043443,4.950706
0.043500,4.998234
0.043557,5.045726
0.043615,4.979560
0.043672,4.659917
0.043729,4.509663
0.043786,4.994262
0.043844,4.908986
0.043901,4.892818
0.043958,4.880897
0.044016,4.777882
0.044073,4.647096
0.044130,4.703409
0.044187,4.625040
0.044245,4.743563
0.044302,4.764548
0.044359,4.765416
0.044417,4.789535
0.044474,4.967623
0.044531,4.944695
0.044589,4.959748
0.044646,5.000539
0.044703,5.031546
0.044760,4.875097
0.044818,4.918779
0.044875,5.019661
0.044932,4.959890
0.044990,4.925352
0.045047,4.956064
0.045104,4.995185
0.045161,4.924463
0.045219,4.762963
0.045276,4.911003
0.045333,5.018942
0.045391,4.958506
0.045448,5.003284
0.045505,4.861792
0.045562,4.903219
0.045620,4.853569
0.045677,4.858689
0.045734,4.917752
0.045792,4.905635
0.045849,5.004958
0.045906,4.891324
0.045964,4.873621
0.046021,4.964506
0.046078,4.868979
0.046135,4.821145
0.046193,4.707672
0.046250,4.597054
0.046307,4.634326
0.046365,4.628175
0.046422,4.670035
0.046479,4.804911
0.046536,4.855387
0.046594,4.885074
0.046651,4.882844
0.046708,4.851731
0.046766,5.013364
0.046823,4.929637
0.046880,4.894454
0.046938,5.063255
0.046995,4.946756
0.047052,4.920049
0.047109,4.900428
0.047167,4.869237
0.047224,4.956673
0.047281,4.909210
0.047339,5.002571
0.047396,5.115891
0.047453,5.014510
0.047510,5.001298
0.047568,5.020477
0.047625,4.670514
0.047682,4.635038
0.047740,4.902475
0.047797,4.827249
0.047854,4.901678
0.047911,4.870895
0.047969,4.846746
0.048026,4.879358
0.048083,4.786514
0.048141,4.861298
0.048198,4.959866
0.048255,4.956353
0.048312,4.905088
0.048370,4.846796
0.048427,4.675329
0.048484,4.668096
0.048542,4.713444
0.048599,4.617480
0.048656,4.641790
0.048714,4.678560
0.048771,4.647814
0.048828,4.713571
0.048885,4.772735
0.048943,4.712700
0.049000,4.747147
0.049057,4.857070
0.049115,4.861972
0.049172,4.818522
0.049229,4.948613
0.049286,4.970666
0.049344,4.970653
0.049401,5.028824
0.049458,4.959843
0.049516,4.990565
0.049573,5.032847
0.049630,5.009063
0.049687,5.074400
0.049745,4.987472
0.049802,4.940798
0.049859,5.022772
0.049917,5.022485
0.049974,4.920603
0.050031,4.907949
0.050089,4.992953
0.050146,5.007741
0.050203,4.918352
0.050260,4.812178
0.050318,4.896222
0.050375,4.941116
0.050432,4.994894
0.050490,4.934031
0.050547,4.839462
0.050604,4.881302
0.050661,4.867099
0.050719,4.769778
0.050776,4.918566
0.050833,4.964459
0.050891,4.926915
0.050948,4.902568
0.051005,4.818894
0.051062,4.770269
0.051120,4.746766
0.051177,4.709537
0.051234,4.669454
0.051292,4.666403
0.051349,4.659539
0.051406,4.569736
0.051464,4.447316
0.051521,4.419297
0.051578,4.577288
0.051635,4.681161
0.051693,4.867933
0.051750,4.927138
0.051807,4.981783
0.051865,4.925341
0.051922,4.888305
0.051979,4.904864
0.052036,4.987606
0.052094,5.012848
0.052151,5.036723
0.052208,5.054555
0.052266,5.025565
0.052323,4.943116
0.052380,4.836820
0.052437,4.797495
0.052495,4.941430
0.052552,5.000641
0.052609,4.985603
0.052667,5.013432
0.052724,5.027324
0.052781,4.990504
0.052839,4.972947
0.052896,4.986640
0.052953,4.968691
0.053010,4.971327
0.053068,4.986547
0.053125,4.986377
0.053182,4.921883
0.053240,4.846859
0.053297,4.834797
0.053354,4.790687
0.053411,4.735649
0.053469,4.825233
0.053526,4.878228
0.053583,4.886583
0.053641,4.890872
0.053698,4.855887
0.053755,4.782285
0.053812,4.866933
0.053870,4.912943
0.053927,4.865529
0.053984,4.848809
0.054042,4.842967
0.054099,4.883781
0.054156,4.841853
0.054214,4.681248
0.054271,4.663802
0.054328,4.698477
0.054385,4.738123
0.054443,4.807604
0.054500,4.855435
0.054557,4.819112
0.054615,4.773839
0.054672,4.828758
0.054729,4.859425
0.054786,4.805355
0.054844,4.874120
0.054901,4.829779
0.054958,4.801787
0.055016,4.869599
0.055073,4.816061
0.055130,4.834630
0.055188,4.866355
0.055245,4.859540
0.055302,4.844517
0.055359,4.915048
0.055417,4.974120
0.055474,4.984297
0.055531,5.009236
0.055589,5.004057
